"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
8877,"Scienze statistiche, finanziarie e attuariali","Economia, Management e Statistica",2017,0.56,0.76,0.13,0.9,0.92,0.69,0.76,0.13,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8877","Rimini","Rimini","Economia, Management e Statistica","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8878,"Scienze delle professioni sanitarie della prevenzione","Medicina e Chirurgia",2017,0.38,NA,NA,NA,0.75,NA,0.82,NA,0.03,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8878","Bologna","Imola","Medicina e Chirurgia","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
8879,"Assistenza sanitaria (abilitante alla professione sanitaria di assistente sanitario)","Medicina e Chirurgia",2017,0.29,NA,NA,NA,0.86,NA,0.45,NA,0.23,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8879","Rimini","Rimini","Medicina e Chirurgia","Laurea",3,"False","","","Italiano","numero chiuso"
8882,"Produzioni animali","Agraria e Medicina Veterinaria",2017,0.26,0.21,0.02,0.82,0.86,0.36,0.37,0.55,0.53,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8882","Bologna","Bologna","Agraria e Medicina veterinaria","Laurea",3,"False","","","Italiano","numero chiuso"
8884,"Scienze e tecnologie agrarie","Agraria e Medicina Veterinaria",2017,0.5,0.5,0.03,0.85,0.9,0.69,0.56,0.04,0.12,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8884","Bologna","Bologna","Agraria e Medicina veterinaria","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8885,"Scienze della comunicazione","Lettere e Beni culturali",2017,0.49,0.45,0.1,0.9,0.85,0.48,0.44,0.42,0.41,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8885","Bologna","Bologna","Lettere e Beni culturali","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8886,"Semiotica","Lettere e Beni culturali",2017,0.67,0.44,0.12,0.75,0.85,0.64,0.54,0.24,0.17,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8886","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8887,"Ingegneria chimica e biochimica","Ingegneria e Architettura",2017,0.57,0.34,0.02,0.8,0.89,0.14,0.17,0.84,0.81,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8887","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
8888,"Ingegneria civile","Ingegneria e Architettura",2017,0.39,0.3,0.01,0.88,0.86,0.22,0.16,0.78,0.82,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8888","Bologna","Bologna","Ingegneria e Architettura","Laurea",3,"False","","","Italiano","numero chiuso"
8889,"Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali","Scienze politiche",2017,0.67,0.51,0.1,0.77,0.81,0.53,0.51,0.13,0.18,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8889","Ravenna","Ravenna","Scienze politiche","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8890,"Sviluppo e cooperazione internazionale","Scienze politiche",2017,0.66,0.56,0.1,0.76,0.79,0.32,0.33,0.54,0.54,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8890","Bologna","Bologna","Scienze politiche","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8894,"Ingegneria per l'ambiente e il territorio","Ingegneria e Architettura",2017,0.66,0.66,0.19,0.82,0.89,0.4,0.49,0.28,0.15,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8894","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
8895,"Civil engineering","Ingegneria e Architettura",2017,0.74,0.74,0.29,0.93,0.9,0.76,0.55,0.12,0.13,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8895","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera","Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
8896,"Ingegneria chimica e di processo","Ingegneria e Architettura",2017,0.75,0.66,0.18,0.95,0.9,0.66,0.58,0.09,0.17,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8896","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
